frame,tx_px,ty_px,center_x_px,center_y_px
0,0.0,0.0,1037.963663311248,1145.0998189054599
1,-2.965994027607394,-10.052579885447358,1040.9296573388553,1155.1523987909072
2,14.348858560845429,-15.64664848584448,1023.6148047504025,1160.7464673913043
3,29.895698818511164,-33.43690644148887,1008.0679644927368,1178.5367253469487
4,37.8610483712979,-53.507333199279856,1000.1026149399501,1198.6071521047397
5,27.722916996796016,-47.96298342464138,1010.2407463144519,1193.0628023301012
6,31.34599022133716,-65.3567524836892,1006.6176730899108,1210.456571389149
7,30.069228662275236,-73.22610305663034,1007.8944346489727,1218.3259219620902
8,28.714250065429496,-75.12364397448528,1009.2494132458185,1220.2234628799451
9,44.40939219881602,-83.66321244320739,993.5542711124319,1228.7630313486673
10,60.69425089014146,-97.06896797468517,977.2694124211065,1242.168786880145
11,54.624462720467136,-106.54688465009144,983.3392005907808,1251.6467035555513
12,68.96283436331657,-112.66235192199042,969.0008289479314,1257.7621708274503
13,69.73007692876581,-114.4541457034286,968.2335863824821,1259.5539646088885
14,72.33725109268926,-121.24708115691737,965.6264122185587,1266.3469000623772
15,67.93431299677707,-134.88255330976745,970.0293503144709,1279.9823722152273
16,76.47772076821411,-139.9857035948762,961.4859425430338,1285.085522500336
17,85.41112944148858,-157.33008381012564,952.5525338697594,1302.4299027155855
18,96.33646631289298,-164.72969860747912,941.627196998355,1309.829517512939
19,88.61153869533712,-161.31958387091595,949.3521246159108,1306.4194027763758
20,80.82548970640448,-186.35189002015682,957.1381736048435,1331.4517089256167
21,91.67821202976916,-176.6032959625652,946.2854512814788,1321.703114868025
